SequentialCutOff,Length,Size,Time
800,400000,9,148.88107
1600,400000,9,147.272468
3200,400000,9,143.201511
6400,400000,9,158.967957
12800,400000,9,145.724515
25600,400000,9,148.107094
51200,400000,9,139.955847
102400,400000,9,151.826286
204800,400000,9,199.133557
409600,400000,9,306.712555
819200,400000,9,310.924872
50,500000,9,191.323346
100,500000,9,179.137531
200,500000,9,182.880051
400,500000,9,176.278158
800,500000,9,174.87203
1600,500000,9,177.477611
3200,500000,9,185.008369
6400,500000,9,185.694171
12800,500000,9,181.231794
25600,500000,9,187.310238
51200,500000,9,187.207601
102400,500000,9,193.621948
204800,500000,9,218.286093
409600,500000,9,261.450094
819200,500000,9,442.454219
50,600000,9,249.355253
100,600000,9,223.408613
200,600000,9,205.680399
400,600000,9,219.514471
800,600000,9,228.888963
1600,600000,9,217.649276
3200,600000,9,232.724789
6400,600000,9,226.2232
12800,600000,9,228.62444
25600,600000,9,251.459311
51200,600000,9,218.571143
102400,600000,9,244.460866
204800,600000,9,220.239928
409600,600000,9,295.505524
819200,600000,9,457.902958
50,700000,9,260.181593
100,700000,9,252.846778
200,700000,9,296.678852
400,700000,9,254.711039
800,700000,9,273.546799
1600,700000,9,337.03713
3200,700000,9,297.776136
6400,700000,9,313.405889
12800,700000,9,263.535024
25600,700000,9,307.628823
51200,700000,9,263.970765
102400,700000,9,254.276698
204800,700000,9,248.320485
409600,700000,9,347.543896
819200,700000,9,542.660146
50,800000,9,408.439843
100,800000,9,304.924338
200,800000,9,332.614408
400,800000,9,281.73117
800,800000,9,294.110128
1600,800000,9,320.855937
3200,800000,9,302.414396
6400,800000,9,310.554445
12800,800000,9,268.497991
25600,800000,9,311.580815
51200,800000,9,342.395716
102400,800000,9,355.769321
204800,800000,9,311.733371
409600,800000,9,411.392056
819200,800000,9,630.168474
50,900000,9,403.886491
100,900000,9,466.421831
200,900000,9,646.628187
400,900000,9,351.301344
800,900000,9,356.035711
1600,900000,9,386.387812
3200,900000,9,323.39527
6400,900000,9,299.351147
12800,900000,9,342.727886
25600,900000,9,343.632492
51200,900000,9,347.02278
102400,900000,9,325.011803
204800,900000,9,444.634789
409600,900000,9,327.913165
819200,900000,9,544.63171
50,1000000,9,476.925331
100,1000000,9,450.840598
200,1000000,9,358.519993
400,1000000,9,351.499154
800,1000000,9,356.596015
1600,1000000,9,348.157852
3200,1000000,9,355.934939
6400,1000000,9,407.451262
12800,1000000,9,356.015183
25600,1000000,9,337.536319
51200,1000000,9,368.223856
102400,1000000,9,376.667618
204800,1000000,9,388.702743
409600,1000000,9,355.368103
819200,1000000,9,495.778352
50,100000,11,47.137453
100,100000,11,42.945664
200,100000,11,39.82923
400,100000,11,42.771648
800,100000,11,38.567729
1600,100000,11,41.112193
3200,100000,11,41.365521
6400,100000,11,42.931202
12800,100000,11,45.814369
25600,100000,11,42.487996
51200,100000,11,64.522765
102400,100000,11,95.94789
204800,100000,11,102.272197
409600,100000,11,97.743105
819200,100000,11,96.2586
50,200000,11,83.750879
100,200000,11,90.953199
200,200000,11,88.450722
400,200000,11,88.852406
800,200000,11,87.44208
1600,200000,11,89.160784
3200,200000,11,89.654841
6400,200000,11,86.431572
12800,200000,11,93.959998
25600,200000,11,106.761167
51200,200000,11,89.666971
102400,200000,11,121.356619
204800,200000,11,193.848216
409600,200000,11,194.236371
819200,200000,11,194.580205
50,300000,11,131.879247
100,300000,11,137.038623
200,300000,11,129.00401
400,300000,11,130.47032
800,300000,11,139.781365
1600,300000,11,138.078989
3200,300000,11,128.708229
6400,300000,11,135.406694
12800,300000,11,134.296815
25600,300000,11,136.583288
51200,300000,11,134.400852
102400,300000,11,140.334671
204800,300000,11,184.92486
409600,300000,11,304.595899
819200,300000,11,289.913207
50,400000,11,202.039118
100,400000,11,182.117272
200,400000,11,196.690329
400,400000,11,176.170855
800,400000,11,184.4406
1600,400000,11,177.949742
3200,400000,11,189.339186
6400,400000,11,180.504004
12800,400000,11,182.297819
25600,400000,11,188.908577
51200,400000,11,182.693438
102400,400000,11,274.624489
204800,400000,11,284.567217
409600,400000,11,385.305924
819200,400000,11,387.120733
50,500000,11,221.852262
100,500000,11,229.783305
200,500000,11,232.659941
400,500000,11,216.619174
800,500000,11,223.108166
1600,500000,11,227.741295
3200,500000,11,223.908269
6400,500000,11,285.234824
12800,500000,11,255.884367
25600,500000,11,234.313797
51200,500000,11,255.782663
102400,500000,11,216.868302
204800,500000,11,334.965262
409600,500000,11,357.749282
819200,500000,11,573.231983
50,600000,11,291.665034
100,600000,11,278.757029
200,600000,11,295.343172
400,600000,11,277.243132
800,600000,11,268.25866
1600,600000,11,270.163044
3200,600000,11,283.19328
6400,600000,11,280.663745
12800,600000,11,313.404022
25600,600000,11,396.420114
